"gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","query","Position.in.contig","Phenotype","Accession.no.","ARO","ARO_name","Cut_Off","confers_resistance_to","confers_resistance_to_names","resistance_to_drug_classes","resistance_to_drug_classes_names","pipeline","id","ARG.class","parent","parent_description","geneclass_argcompare"
"aph(3')-IIc",85.66,"809/813",99.0159901599016,"1..807","GMGC10.255_010_172.STRB","1..807","Butirosin, Kanamycin, Neomycin, Paromomycin","AM743169","ARO:3002659","APH(6)-Ic","Loose","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","ResFinder",85.66,"Aminoglycoside","ARO:3000151","APH(6)","aph"
"blaL1",86.32,"804/870",91.7241379310345,"52..852","GMGC10.255_012_447.MBL1","55..855","Unknown Beta-lactam","EF126059","ARO:3000582","L1 beta-lactamase","Loose","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ResFinder",86.32,"Beta-lactam","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"catB7",98.44,"639/639",100,"1..639","GMGC10.255_013_601.CAT","1..639","Chloramphenicol","AF036933","ARO:3002679","Pseudomonas aeruginosa catB7","Perfect","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",98.44,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"VanC1XY",99.9,"1032/1601",64.4597126795753,"1..1032","GMGC10.255_016_221.DDL","4..1035","Vancomycin","AF162694","ARO:3000246","glycopeptide resistance gene cluster VanC","Manual","ARO:0000028","vancomycin","ARO:3000081","glycopeptide antibiotic","ResFinder",99.9,"Glycopeptide","ARO:3000234","glycopeptide resistance gene cluster","van"
"tet(J)",99,"1197/1197",100,"1..1197","GMGC10.255_021_875.TETA","1..1197","Doxycycline, Tetracycline","ACLE01000065","ARO:3000177","tet(J)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",99,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"blaOXY-5-1",99.63,"537/873",61.5120274914089,"1..537","GMGC10.255_025_605.BLA","1..537","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","AJ871868","ARO:3002411","OXY-5-1","Perfect","ARO:0000004,ARO:0000032,ARO:3000008","monobactam,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",99.63,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"aac(6')-Ig",97.95,"438/438",100,"1..438","GMGC10.256_380_113.AACA7","1..438","Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin","L09246","ARO:3002554","AAC(6')-Ig","Perfect","ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379","dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",97.95,"Aminoglycoside","ARO:3000345","AAC(6')","aac"
"catS",86.62,"538/537",99.8137802607076,"1..537","GMGC10.256_572_468.CAT","88..624","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",86.62,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",83.83,"538/537",99.8137802607076,"1..537","GMGC10.256_671_140.CAT","88..624","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",83.83,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",86.41,"537/537",100,"1..537","GMGC10.256_692_471.CAT","88..624","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",86.41,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",88.3,"530/537",98.6964618249534,"1..530","GMGC10.257_350_431.CAT","88..617","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",88.3,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"tet(S)",99.95,"1926/1926",100,"1..1926","GMGC10.257_353_991.TETP","16..1941","Doxycycline, Tetracycline, Minocycline","L09756","ARO:3000192","tet(S)","Strict","ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668","tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","ResFinder",99.95,"Tetracycline","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"catS",90.88,"537/537",100,"1..537","GMGC10.257_946_326.CAT","1..537","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",90.88,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",89.59,"538/537",99.8137802607076,"1..537","GMGC10.258_000_912.CAT","163..699","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",89.59,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",86.38,"345/537",64.2458100558659,"1..345","GMGC10.258_008_395.CAT","88..432","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",86.38,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",86.62,"538/537",99.8137802607076,"1..537","GMGC10.258_020_753.CAT","1..537","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",86.62,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",86.61,"493/537",91.4338919925512,"46..537","GMGC10.258_026_275.CAT","1..492","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",86.61,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"blaACT-4",90.76,"1147/1146",99.912739965096,"1..1146","GMGC10.259_822_232.UNKNOWN","1..1146","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","AJ311172","ARO:3001829","ACT-4","Strict","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",90.76,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"catS",83.05,"525/537",97.3929236499069,"14..537","GMGC10.259_826_357.CAT","101..624","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",83.05,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"aph(2'')-Ih",82.9,"807/894",89.0380313199105,"82..883","GMGC10.260_062_684.AACA-APHD","1..801","Amikacin, Gentamicin, Tobramycin, Kanamycin","KF652096","ARO:3004191","APH(2'')-If","Strict","ARO:0000007,ARO:0000035,ARO:0000049,ARO:0000052,ARO:3004015","dibekacin,sisomicin,kanamycin A,tobramycin,gentamicin A","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",82.9,"Aminoglycoside","ARO:3000128","APH(2'')","aph"
"tva(A)",87.14,"1446/1518",94.7957839262187,"1..1443","GMGC10.260_321_604.LSA","1..1442","Tiamulin","ENA_SOX29786","ARO:3004730","","","","","","","ResFinder",87.14,"Pleuromutilin","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"mdt(A)",98.81,"1176/1257",93.5560859188544,"82..1257","GMGC10.260_326_424.MDT(A)","1..1176","Erythromycin, Azithromycin, Tetracycline","X92946","ARO:3003954","efmA","Loose","ARO:0000001,ARO:0000006","fluoroquinolone antibiotic,erythromycin","ARO:0000000,ARO:0000001","macrolide antibiotic,fluoroquinolone antibiotic","ResFinder",98.81,"Macrolide, Lincosamide, Streptogramin A, Streptogramin B, Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"catS",87.92,"538/537",99.8137802607076,"1..537","GMGC10.260_347_969.CAT","88..624","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",87.92,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",87.33,"505/537",93.6685288640596,"1..504","GMGC10.260_384_315.CAT","127..630","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",87.33,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",83.27,"538/537",99.8137802607076,"1..537","GMGC10.260_452_171.CAT","94..630","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",83.27,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",88.87,"530/537",98.6964618249534,"1..530","GMGC10.260_490_676.CAT","211..740","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",88.87,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",85.13,"538/537",99.8137802607076,"1..537","GMGC10.260_533_874.CAT","85..621","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",85.13,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",88.64,"537/537",100,"1..537","GMGC10.261_467_264.CAT","79..615","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",88.64,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",88.1,"538/537",99.8137802607076,"1..537","GMGC10.261_472_678.CAT","43..579","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",88.1,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"OqxB",89.75,"3101/3153",98.3507770377418,"1..3101","GMGC10.261_579_133.MEXF","1..3101","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003923","oqxB","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",89.75,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"catS",87.74,"530/537",98.6964618249534,"1..530","GMGC10.261_610_774.CAT","88..617","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",87.74,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"tet(Q)",99.79,"1926/1926",100,"1..1926","GMGC10.262_188_026.TETP","229..2154","Doxycycline, Tetracycline, Minocycline","L33696","ARO:3000191","tet(Q)","Strict","ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668","tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","ResFinder",99.79,"Tetracycline","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"catS",91.99,"537/537",100,"1..537","GMGC10.262_334_022.CAT","88..624","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",91.99,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",84.82,"527/537",97.3929236499069,"1..525","GMGC10.263_410_355.CAT","88..612","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",84.82,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",87.04,"540/537",99.4413407821229,"1..537","GMGC10.263_451_426.CAT","1..537","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",87.04,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",82.83,"431/537",80.2607076350093,"14..444","GMGC10.263_615_738.CAT","14..444","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",82.83,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catP",83.66,"557/624",87.6602564102564,"73..624","GMGC10.263_652_939.CAT","1..552","Chloramphenicol","U15027","ARO:3002686","catP","Perfect","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",83.66,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",86.03,"537/537",100,"1..537","GMGC10.263_711_677.CAT","88..624","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",86.03,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catP",87.31,"386/624",61.2179487179487,"241..624","GMGC10.263_763_805.CAT","1..384","Chloramphenicol","U15027","ARO:3002686","catP","Perfect","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",87.31,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",86.59,"537/537",100,"1..537","GMGC10.263_768_142.CAT","1..537","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",86.59,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",84.22,"526/537",97.5791433891992,"1..525","GMGC10.264_694_663.CAT","88..612","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",84.22,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catP",97.28,"624/624",100,"1..624","GMGC10.264_776_588.CAT","1..624","Chloramphenicol","U15027","ARO:3002686","catP","Perfect","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",97.28,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"OqxA",91.26,"858/1176",72.7891156462585,"19..875","GMGC10.264_780_065.MEXE","1..857","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003922","oqxA","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",91.26,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"catS",91.99,"537/537",100,"1..537","GMGC10.264_790_738.CAT","127..663","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",91.99,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",85.45,"536/537",99.4413407821229,"1..535","GMGC10.265_047_393.CAT","1..535","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",85.45,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",84.57,"538/537",99.8137802607076,"1..537","GMGC10.265_106_983.CAT","94..630","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",84.57,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",86.25,"400/537",74.1154562383613,"100..498","GMGC10.265_178_441.CAT","1..399","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",86.25,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"OqxA",94.18,"825/1176",70.1530612244898,"1..825","GMGC10.265_188_263.MEXE","1..825","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003922","oqxA","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",94.18,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"catS",87.36,"538/537",99.8137802607076,"1..537","GMGC10.265_475_020.CAT","220..756","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",87.36,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",85.87,"538/537",99.8137802607076,"1..537","GMGC10.265_885_195.CAT","88..624","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",85.87,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",85.43,"405/537",75.4189944134078,"1..405","GMGC10.265_922_166.CAT","55..459","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",85.43,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"cfiA13",99.2,"750/750",100,"1..750","GMGC10.265_936_625.CPHA","28..777","Unknown Beta-lactam","FM200787","ARO:3000578","CcrA","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","ResFinder",99.2,"Beta-lactam","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"catS",93.07,"534/537",99.4413407821229,"1..534","GMGC10.265_975_105.CAT","1..534","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",93.07,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",86.41,"434/537",80.4469273743017,"1..433","GMGC10.265_987_834.CAT","1..433","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",86.41,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catS",83.89,"540/537",99.4413407821229,"1..537","GMGC10.266_059_383.CAT","88..624","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",83.89,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"catP",84.64,"625/624",99.8397435897436,"1..624","GMGC10.266_066_284.CAT","1..624","Chloramphenicol","U15027","ARO:3002686","catP","Perfect","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",84.64,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"lsa(C)",92.23,"1365/1479",92.2920892494929,"115..1479","GMGC10.266_149_211.LSA","34..1398","Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin","HM990671","ARO:3003112","lsaC","Perfect","ARO:0000026,ARO:0000046,ARO:0000066,ARO:3001317","streptogramin antibiotic,lincomycin,clindamycin,pleuromutilin","ARO:0000017,ARO:0000017,ARO:0000026,ARO:3000670","lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,pleuromutilin antibiotic","ResFinder",92.23,"Lincosamide, Streptogramin A, Pleuromutilin","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
